utente,tipo_evento,cod_2
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3158,2,3
3158,1,1
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,1,1
3158,2,3
3158,1,1
3158,1,1
3158,1,1
3158,2,3
3158,2,3
3158,2,3
3158,1,1
3158,2,3
3158,2,3
3158,2,3
3158,2,3
3158,1,1
3159,1,1
3159,1,1
3159,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,2,3
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,2,3
3160,1,1
3160,2,3
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,3,1
3160,2,3
3160,1,1
3160,1,1
3160,1,1
3160,2,3
3160,1,1
3160,2,3
3160,2,3
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,2,3
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3160,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3161,1,1
3162,1,1
3162,1,1
3162,1,1
3162,1,1
3162,3,1
3162,1,1
3162,3,1
3162,3,1
3162,1,1
3162,3,1
3162,3,1
3162,1,1
3162,3,1
3162,1,1
3162,3,1
3162,3,1
3162,1,1
3162,3,1
3162,3,1
3162,1,1
3162,3,1
3162,1,1
3162,1,1
3162,3,1
3162,1,1
3162,1,1
3162,3,1
3162,1,1
3162,3,1
3162,1,1
3162,1,1
3162,3,1
3162,3,1
3162,1,1
3162,1,1
3162,2,3
3162,3,1
3162,3,1
3162,3,1
3162,3,1
3162,1,1
3162,1,1
3162,1,1
3162,1,1
3162,1,1
3162,1,1
3162,1,1
3162,3,1
3162,1,1
3162,2,3
3162,1,1
3162,3,1
3162,1,1
3162,3,1
3162,3,1
3162,3,1
3162,1,1
3162,1,1
3162,1,1
3162,3,1
3162,3,1
3162,2,3
3162,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,1,1
3163,1,1
3163,1,1
3163,3,1
3163,1,1
3163,3,1
